,formation,country,reference,label,age,strat_m,d13C,d18O,87Sr/86Sr_primary
0,Shaler Supergroup,Canada,Asmerom et al. (1991),Shaler,848.064,1658.0,4.9,-6.9,
1,Shaler Supergroup,Canada,Asmerom et al. (1991),Shaler,846.725,1707.0,2.9,-11.0,
2,Shaler Supergroup,Canada,Asmerom et al. (1991),Shaler,845.548,1749.0,3.3,-9.3,0.70657
3,Shaler Supergroup,Canada,Asmerom et al. (1991),Shaler,845.207,1761.0,4.2,-7.7,0.70591
4,Shaler Supergroup,Canada,Asmerom et al. (1991),Shaler,841.994,1870.0,3.8,-8.0,0.70634
5,Shaler Supergroup,Canada,Asmerom et al. (1991),Shaler,838.135,1992.0,4.7,-7.2,0.70578
6,Shaler Supergroup,Canada,Asmerom et al. (1991),Shaler,832.355,2158.0,5.0,-4.5,
7,Shaler Supergroup,Canada,Asmerom et al. (1991),Shaler,830.55,2206.0,4.1,-7.4,0.70562
8,Shaler Supergroup,Canada,Asmerom et al. (1991),Shaler,823.712,2373.0,4.9,-2.2,
9,Shaler Supergroup,Canada,Asmerom et al. (1991),Shaler,822.243,2406.0,4.5,-7.2,0.70581
10,Shaler Supergroup,Canada,Asmerom et al. (1991),Shaler,817.157,2513.0,5.8,-6.3,0.70576
11,Shaler Supergroup,Canada,Asmerom et al. (1991),Shaler,816.3,2530.0,4.5,-7.9,0.7065
12,Shaler Supergroup,Canada,Asmerom et al. (1991),Shaler,813.795,2578.0,6.4,-6.9,0.70597
13,Shaler Supergroup,Canada,Asmerom et al. (1991),Shaler,810.989,2629.0,3.1,-6.9,0.70648
14,Shaler Supergroup,Canada,Asmerom et al. (1991),Shaler,793.361,2754.0,5.0,-7.5,0.70663
15,Shaler Supergroup,Canada,Asmerom et al. (1991),Shaler,786.292,2854.0,6.0,-7.4,0.70682
16,Shaler Supergroup,Canada,Asmerom et al. (1991),Shaler,784.357,2879.0,5.7,-6.8,0.70681
17,Riphean Transition,Siberia,Bartley et al. (2001),Riphean,1060.0,7.0,-0.1,-5.6,
18,Riphean Transition,Siberia,Bartley et al. (2001),Riphean,1059.891,8.5,0.0,-5.5,
19,Riphean Transition,Siberia,Bartley et al. (2001),Riphean,1059.346,16.0,0.7,-5.9,
20,Riphean Transition,Siberia,Bartley et al. (2001),Riphean,1058.983,21.0,0.7,-6.9,
21,Riphean Transition,Siberia,Bartley et al. (2001),Riphean,1058.983,21.0,1.0,-6.5,
22,Riphean Transition,Siberia,Bartley et al. (2001),Riphean,1058.693,25.0,0.1,-6.6,
23,Riphean Transition,Siberia,Bartley et al. (2001),Riphean,1058.693,25.0,0.4,-5.7,
24,Riphean Transition,Siberia,Bartley et al. (2001),Riphean,1057.931,35.5,-0.1,-9.6,
25,Riphean Transition,Siberia,Bartley et al. (2001),Riphean,1057.059,47.5,-0.1,-9.0,
26,Riphean Transition,Siberia,Bartley et al. (2001),Riphean,1056.515,55.0,0.1,-7.5,
27,Riphean Transition,Siberia,Bartley et al. (2001),Riphean,1056.442,56.0,-1.9,-8.8,
28,Riphean Transition,Siberia,Bartley et al. (2001),Riphean,1055.716,66.0,-1.1,-8.5,
29,Riphean Transition,Siberia,Bartley et al. (2001),Riphean,1054.99,76.0,-1.0,-8.6,
30,Riphean Transition,Siberia,Bartley et al. (2001),Riphean,1054.699,80.0,-0.3,-9.1,
31,Riphean Transition,Siberia,Bartley et al. (2001),Riphean,1054.264,86.0,-0.4,-8.1,
32,Riphean Transition,Siberia,Bartley et al. (2001),Riphean,1053.973,90.0,1.3,-3.4,
33,Riphean Transition,Siberia,Bartley et al. (2001),Riphean,1053.465,97.0,1.7,-4.8,
34,Riphean Transition,Siberia,Bartley et al. (2001),Riphean,1053.029,103.0,0.8,-5.6,
35,Riphean Transition,Siberia,Bartley et al. (2001),Riphean,1052.884,105.0,0.1,-7.3,
36,Riphean Transition,Siberia,Bartley et al. (2001),Riphean,1052.521,110.0,0.6,-6.1,
37,Riphean Transition,Siberia,Bartley et al. (2001),Riphean,1052.158,115.0,-0.6,-8.3,
